key,arm,half,ik_index,requested_mode,used_mode,point_in_danger,success,best_cost,x,y,z,is_best_success_for_key_arm,figure_relpath
-0.050_-0.300_0.560,L,lower,0,auto,free,True,True,3.1335070054562983,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,1,auto,free,True,True,2.822233982864452,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,2,auto,free,True,True,2.9765231746602954,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,3,auto,free,True,True,2.1664689276342903,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,4,auto,free,True,True,3.183355749291148,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,5,auto,free,True,True,2.8846605637959786,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,6,auto,free,True,True,2.260929766582481,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,7,auto,free,True,True,2.7871552566431737,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,8,auto,free,True,True,2.4690677462816146,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,9,auto,free,True,True,2.526847565395653,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,10,auto,free,True,True,2.9068425576540706,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,11,auto,free,True,True,2.4966218120377994,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,12,auto,free,True,True,3.007113648366898,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,13,auto,free,True,True,3.5345160697868847,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,14,auto,free,True,True,2.9973264749957167,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,15,auto,free,True,True,2.967408419373965,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,16,auto,free,True,True,2.6845459048151694,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,17,auto,free,True,True,3.641140066737255,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,18,auto,free,True,True,2.9111113266582715,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,19,auto,free,True,True,2.890391898143463,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,20,auto,free,True,True,3.623081587384547,-0.05,-0.3,0.56,False,
-0.050_-0.300_0.560,L,lower,21,auto,free,True,True,3.064003156188918,-0.05,-0.3,0.56,False,
