key,x,y,z,half,arm,requested_mode,used_mode,point_in_danger,candidate_goal_count,success,label,best_cost,safe_goal_count,fallback_goal_count
-0.400_-0.500_0.560,-0.4,-0.5,0.56,lower,L,auto,safe,False,8,True,safe,2.0448626751151737,8,3
-0.400_-0.500_0.560,-0.4,-0.5,0.56,lower,R,auto,free,False,0,False,unplanned,,0,0
-0.400_-0.400_0.560,-0.4,-0.4,0.56,lower,L,auto,safe,False,8,True,safe,2.1253194612957262,8,4
-0.400_-0.400_0.560,-0.4,-0.4,0.56,lower,R,auto,free,False,0,False,unplanned,,0,0
-0.400_-0.300_0.560,-0.4,-0.3,0.56,lower,L,auto,safe,False,8,True,safe,1.9249900933118829,8,6
-0.400_-0.300_0.560,-0.4,-0.3,0.56,lower,R,auto,free,False,0,False,unplanned,,0,0
-0.400_0.300_0.560,-0.4,0.3,0.56,upper,L,auto,safe,False,8,True,safe,1.205742988154145,8,2
-0.400_0.300_0.560,-0.4,0.3,0.56,upper,R,auto,free,False,0,False,unplanned,,0,0
-0.400_0.400_0.560,-0.4,0.4,0.56,upper,L,auto,safe,False,8,True,safe,1.4102492419718247,8,2
-0.400_0.400_0.560,-0.4,0.4,0.56,upper,R,auto,free,False,0,False,unplanned,,0,0
-0.400_0.500_0.560,-0.4,0.5,0.56,upper,L,auto,safe,False,8,True,safe,1.4754303858606008,8,1
-0.400_0.500_0.560,-0.4,0.5,0.56,upper,R,auto,free,False,0,False,unplanned,,0,0
-0.300_-0.500_0.560,-0.3,-0.5,0.56,lower,L,auto,safe,False,8,True,safe,1.923722386989514,8,7
-0.300_-0.500_0.560,-0.3,-0.5,0.56,lower,R,auto,free,False,0,False,unplanned,,0,0
-0.300_-0.400_0.560,-0.3,-0.4,0.56,lower,L,auto,safe,False,8,True,safe,2.236644243142467,8,15
-0.300_-0.400_0.560,-0.3,-0.4,0.56,lower,R,auto,free,False,0,False,unplanned,,0,0
-0.300_-0.300_0.560,-0.3,-0.3,0.56,lower,L,auto,safe,False,8,True,safe,2.2359926290074084,8,13
-0.300_-0.300_0.560,-0.3,-0.3,0.56,lower,R,auto,free,False,0,False,unplanned,,0,0
-0.300_0.300_0.560,-0.3,0.3,0.56,upper,L,auto,safe,False,8,True,safe,1.4937739324708965,8,15
-0.300_0.300_0.560,-0.3,0.3,0.56,upper,R,auto,free,False,0,False,unplanned,,0,0
-0.300_0.400_0.560,-0.3,0.4,0.56,upper,L,auto,safe,False,8,True,safe,0.7396517559517721,8,13
-0.300_0.400_0.560,-0.3,0.4,0.56,upper,R,auto,free,False,0,False,unplanned,,0,0
-0.300_0.500_0.560,-0.3,0.5,0.56,upper,L,auto,safe,False,8,True,safe,0.918262883474577,8,4
-0.300_0.500_0.560,-0.3,0.5,0.56,upper,R,auto,free,False,0,False,unplanned,,0,0
-0.200_-0.500_0.560,-0.2,-0.5,0.56,lower,L,auto,safe,False,8,True,safe,2.281339954492704,8,13
-0.200_-0.500_0.560,-0.2,-0.5,0.56,lower,R,auto,free,False,0,False,unplanned,,0,0
-0.200_-0.400_0.560,-0.2,-0.4,0.56,lower,L,auto,safe,False,8,True,safe,1.9683252490636383,8,19
-0.200_-0.400_0.560,-0.2,-0.4,0.56,lower,R,auto,free,False,0,False,unplanned,,0,0
-0.200_-0.300_0.560,-0.2,-0.3,0.56,lower,L,auto,free,True,42,True,fallback,1.9439960091704678,0,42
-0.200_-0.300_0.560,-0.2,-0.3,0.56,lower,R,auto,free,True,3,True,fallback,1.581179995837196,0,3
-0.200_0.300_0.560,-0.2,0.3,0.56,upper,L,auto,free,True,48,True,fallback,0.4160816297626724,0,48
-0.200_0.300_0.560,-0.2,0.3,0.56,upper,R,auto,free,True,0,False,unplanned,,0,0
-0.200_0.400_0.560,-0.2,0.4,0.56,upper,L,auto,safe,False,8,True,safe,0.7476148383910124,8,16
-0.200_0.400_0.560,-0.2,0.4,0.56,upper,R,auto,free,False,0,False,unplanned,,0,0
-0.200_0.500_0.560,-0.2,0.5,0.56,upper,L,auto,safe,False,8,True,safe,1.1447487596733037,8,10
-0.200_0.500_0.560,-0.2,0.5,0.56,upper,R,auto,free,False,0,False,unplanned,,0,0
-0.100_-0.500_0.560,-0.1,-0.5,0.56,lower,L,auto,free,True,17,True,fallback,2.234079749780065,0,17
-0.100_-0.500_0.560,-0.1,-0.5,0.56,lower,R,auto,free,True,0,False,unplanned,,0,0
-0.100_-0.400_0.560,-0.1,-0.4,0.56,lower,L,auto,free,True,27,True,fallback,1.6749174390721508,0,27
-0.100_-0.400_0.560,-0.1,-0.4,0.56,lower,R,auto,free,True,12,True,fallback,0.9728970412772555,0,12
-0.100_-0.300_0.560,-0.1,-0.3,0.56,lower,L,auto,free,True,36,True,fallback,1.668447419449708,0,36
-0.100_-0.300_0.560,-0.1,-0.3,0.56,lower,R,auto,free,True,21,True,fallback,0.7722169371047263,0,21
-0.100_0.300_0.560,-0.1,0.3,0.56,upper,L,auto,free,True,42,True,fallback,0.6017442369920003,0,42
-0.100_0.300_0.560,-0.1,0.3,0.56,upper,R,auto,free,True,15,True,fallback,1.5832079912478394,0,15
-0.100_0.400_0.560,-0.1,0.4,0.56,upper,L,auto,free,True,30,True,fallback,0.8796273921959155,0,30
-0.100_0.400_0.560,-0.1,0.4,0.56,upper,R,auto,free,True,9,True,fallback,2.427915834796719,0,9
-0.100_0.500_0.560,-0.1,0.5,0.56,upper,L,auto,safe,False,8,True,safe,1.2575101781745017,8,13
-0.100_0.500_0.560,-0.1,0.5,0.56,upper,R,auto,free,False,0,False,unplanned,,0,0
0.000_-0.500_0.560,0.0,-0.5,0.56,lower,L,auto,free,True,6,True,fallback,2.492186636151701,0,6
