key,arm,half,ik_index,requested_mode,used_mode,point_in_danger,success,best_cost,x,y,z,is_best_success_for_key_arm,figure_relpath
-0.100_-0.300_0.560,L,lower,0,auto,free,True,True,1.710778964968031,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,1,auto,free,True,True,2.6649959433544415,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,2,auto,free,True,True,2.369995566072051,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,3,auto,free,True,True,1.7776729155283963,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,4,auto,free,True,True,2.7201487091159393,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,5,auto,free,True,True,3.298871122496683,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,6,auto,free,True,True,3.051435255451133,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,7,auto,free,True,True,2.0915856544161553,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,8,auto,free,True,True,3.3890485938379302,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,9,auto,free,True,True,2.769289336960158,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,10,auto,free,True,True,3.0,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,11,auto,free,True,True,2.91694487412668,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,12,auto,free,True,True,2.2679646131125253,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,13,auto,free,True,True,2.7575185630299766,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,14,auto,free,True,True,3.8626548315413554,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,15,auto,free,True,True,3.0486660427091143,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,16,auto,free,True,True,3.3347163081068922,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,17,auto,free,True,True,2.0315819636147845,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,18,auto,free,True,True,2.768927920748726,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,19,auto,free,True,True,2.7935009744074915,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,20,auto,free,True,True,3.675280352358005,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,21,auto,free,True,True,3.0,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,22,auto,free,True,True,2.9968565136830367,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,23,auto,free,True,True,2.9602526670434166,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,24,auto,free,True,True,2.8062507165155326,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,25,auto,free,True,True,2.714561396834161,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,26,auto,free,True,True,2.385043601965511,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,27,auto,free,True,True,1.4499471555109205,-0.1,-0.3,0.56,True,figures/-0p100_-0p300_0p560_L_ik27_free_BEST.png
-0.100_-0.300_0.560,L,lower,28,auto,free,True,True,2.079656860486668,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,29,auto,free,True,True,2.5540330531606688,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,30,auto,free,True,True,1.9020823663959125,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,31,auto,free,True,True,1.9209255627115651,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,32,auto,free,True,True,1.668447419449708,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,33,auto,free,True,True,2.620368440618419,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,34,auto,free,True,True,2.5627290305155803,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,L,lower,35,auto,free,True,True,2.32264353781469,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,0,auto,free,True,True,1.0854150134661387,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,1,auto,free,True,True,1.1070095458607276,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,2,auto,free,True,True,1.0965838297414494,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,3,auto,free,True,True,0.8583425136683955,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,4,auto,free,True,True,0.7722169371047263,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,5,auto,free,True,True,0.6217914297620313,-0.1,-0.3,0.56,True,figures/-0p100_-0p300_0p560_R_ik5_free_BEST.png
-0.100_-0.300_0.560,R,lower,6,auto,free,True,True,0.7093777728540518,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,7,auto,free,True,True,2.1119823460257754,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,8,auto,free,True,True,1.8186387948669283,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,9,auto,free,True,True,0.995492846327739,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,10,auto,free,True,True,1.571483541115793,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,11,auto,free,True,True,1.7851271282507613,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,12,auto,free,True,True,1.756560625458336,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,13,auto,free,True,True,2.0749001382216,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,14,auto,free,True,True,2.2474430214155023,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,15,auto,free,True,True,1.788445385825119,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,16,auto,free,True,True,2.558204351431205,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,17,auto,free,True,True,2.077824105409715,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,18,auto,free,True,True,2.640942651413268,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,19,auto,free,True,True,2.4920473574640867,-0.1,-0.3,0.56,False,
-0.100_-0.300_0.560,R,lower,20,auto,free,True,True,2.476796340197378,-0.1,-0.3,0.56,False,
-0.100_-0.400_0.560,L,lower,0,auto,free,True,True,1.6749174390721508,-0.1,-0.4,0.56,True,figures/-0p100_-0p400_0p560_L_ik0_free_BEST.png
-0.100_-0.400_0.560,L,lower,1,auto,free,True,True,3.5150541051193684,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,2,auto,free,True,True,2.3854495829197124,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,3,auto,free,True,True,2.2234205543371175,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,4,auto,free,True,True,3.172845915896544,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,5,auto,free,True,True,3.386608108790637,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,6,auto,free,True,True,2.489288261046627,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,7,auto,free,True,True,2.697828549096874,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,8,auto,free,True,True,2.0763511890076867,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,9,auto,free,True,True,2.677155365366575,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,10,auto,free,True,True,2.34729610914526,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,11,auto,free,True,True,2.913365919752999,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,12,auto,free,True,True,2.5293822749966655,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,13,auto,free,True,True,3.2287591838145806,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,14,auto,free,True,True,2.189085330685936,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,15,auto,free,True,True,3.0279527760419107,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,16,auto,free,True,True,3.1777093084612886,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,17,auto,free,True,True,3.702869020567202,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,18,auto,free,True,True,3.131704921632241,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,19,auto,free,True,True,3.2440421023682147,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,20,auto,free,True,True,2.6696077625667147,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,21,auto,free,True,True,2.780146563472509,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,22,auto,free,True,True,2.2118966024733577,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,23,auto,free,True,True,2.1599193097611145,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,24,auto,free,True,True,2.8715703349578834,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,25,auto,free,True,True,2.1068549530148033,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,L,lower,26,auto,free,True,True,2.3141979518541413,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,R,lower,0,auto,free,True,True,1.5686631624031533,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,R,lower,1,auto,free,True,True,0.7464395901329497,-0.1,-0.4,0.56,True,figures/-0p100_-0p400_0p560_R_ik1_free_BEST.png
-0.100_-0.400_0.560,R,lower,2,auto,free,True,True,1.1136257045569182,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,R,lower,3,auto,free,True,True,0.9728970412772555,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,R,lower,4,auto,free,True,True,1.3551146851626117,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,R,lower,5,auto,free,True,True,1.5084767979350335,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,R,lower,6,auto,free,True,True,1.3249896676946307,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,R,lower,7,auto,free,True,True,1.4222193495036701,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,R,lower,8,auto,free,True,True,2.0032949493544345,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,R,lower,9,auto,free,True,True,1.784010487386919,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,R,lower,10,auto,free,True,True,2.1663419099422736,-0.1,-0.4,0.56,False,
-0.100_-0.400_0.560,R,lower,11,auto,free,True,True,1.7596932686530673,-0.1,-0.4,0.56,False,
-0.100_-0.500_0.560,L,lower,0,auto,free,True,True,3.020165928556756,-0.1,-0.5,0.56,False,
-0.100_-0.500_0.560,L,lower,1,auto,free,True,True,3.4566000797426737,-0.1,-0.5,0.56,False,
-0.100_-0.500_0.560,L,lower,2,auto,free,True,True,2.8718174920904236,-0.1,-0.5,0.56,False,
-0.100_-0.500_0.560,L,lower,3,auto,free,True,True,2.7138933230508115,-0.1,-0.5,0.56,False,
-0.100_-0.500_0.560,L,lower,4,auto,free,True,True,2.436655871341018,-0.1,-0.5,0.56,False,
-0.100_-0.500_0.560,L,lower,5,auto,free,True,True,2.234079749780065,-0.1,-0.5,0.56,True,figures/-0p100_-0p500_0p560_L_ik5_free_BEST.png
-0.100_-0.500_0.560,L,lower,6,auto,free,True,True,2.932677643752652,-0.1,-0.5,0.56,False,
-0.100_-0.500_0.560,L,lower,7,auto,free,True,True,3.40151211276636,-0.1,-0.5,0.56,False,
-0.100_-0.500_0.560,L,lower,8,auto,free,True,True,3.474940518782584,-0.1,-0.5,0.56,False,
-0.100_-0.500_0.560,L,lower,9,auto,free,True,True,2.7582574687247243,-0.1,-0.5,0.56,False,
-0.100_-0.500_0.560,L,lower,10,auto,free,True,True,3.3606675685428584,-0.1,-0.5,0.56,False,
-0.100_-0.500_0.560,L,lower,11,auto,free,True,True,3.5396712362547724,-0.1,-0.5,0.56,False,
-0.100_-0.500_0.560,L,lower,12,auto,free,True,True,2.8688558588496793,-0.1,-0.5,0.56,False,
-0.100_-0.500_0.560,L,lower,13,auto,free,True,True,2.554232208514531,-0.1,-0.5,0.56,False,
-0.100_-0.500_0.560,L,lower,14,auto,free,True,True,3.0964507962759145,-0.1,-0.5,0.56,False,
-0.100_-0.500_0.560,L,lower,15,auto,free,True,True,2.4504907347712983,-0.1,-0.5,0.56,False,
-0.100_-0.500_0.560,L,lower,16,auto,free,True,True,3.455144184232471,-0.1,-0.5,0.56,False,
-0.100_0.300_0.560,L,upper,0,auto,free,True,True,0.8314690796950073,-0.1,0.3,0.56,False,
-0.100_0.300_0.560,L,upper,1,auto,free,True,True,1.0,-0.1,0.3,0.56,False,
-0.100_0.300_0.560,L,upper,2,auto,free,True,True,1.4435763378659,-0.1,0.3,0.56,False,
-0.100_0.300_0.560,L,upper,3,auto,free,True,True,1.142725714308578,-0.1,0.3,0.56,False,
-0.100_0.300_0.560,L,upper,4,auto,free,True,True,2.0859957241380798,-0.1,0.3,0.56,False,
-0.100_0.300_0.560,L,upper,5,auto,free,True,True,1.600008413343444,-0.1,0.3,0.56,False,
-0.100_0.300_0.560,L,upper,6,auto,free,True,True,0.19802167455407524,-0.1,0.3,0.56,False,
-0.100_0.300_0.560,L,upper,7,auto,free,True,True,1.232993725090493,-0.1,0.3,0.56,False,
-0.100_0.300_0.560,L,upper,8,auto,free,True,True,1.8758150129876685,-0.1,0.3,0.56,False,
-0.100_0.300_0.560,L,upper,9,auto,free,True,True,0.13790001565682886,-0.1,0.3,0.56,True,figures/-0p100_0p300_0p560_L_ik9_free_BEST.png
-0.100_0.300_0.560,L,upper,10,auto,free,True,True,1.6108348433843767,-0.1,0.3,0.56,False,
