key,x,y,z,half,label,case,discard,allowed_arms,must_assign_to,safe_count_L,safe_count_R,free_count_L,free_count_R,optimizer_best_cost_L,optimizer_best_cost_R
-0.100_-0.300_0.560,-0.1,-0.3,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,36,21,1.4499471555109205,0.6217914297620313
-0.100_-0.400_0.560,-0.1,-0.4,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,27,12,1.6749174390721508,0.7464395901329497
-0.100_-0.500_0.560,-0.1,-0.5,0.56,lower,serial_lower,left_free_only_no_safe,False,L,L,0,0,17,0,2.234079749780065,
-0.100_0.300_0.560,-0.1,0.3,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,42,15,0.13790001565682886,1.499940337696862
-0.100_0.400_0.560,-0.1,0.4,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,30,9,0.22383121353516203,2.3380806070287474
-0.100_0.500_0.560,-0.1,0.5,0.56,upper,parallel,left_safe_only,False,L,L,8,0,0,0,1.3922053770215106,
-0.200_-0.300_0.560,-0.2,-0.3,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,42,3,1.1225707771565592,1.581179995837196
-0.200_-0.400_0.560,-0.2,-0.4,0.56,lower,parallel,left_safe_only,False,L,L,8,0,0,0,1.9683252490636383,
-0.200_-0.500_0.560,-0.2,-0.5,0.56,lower,parallel,left_safe_only,False,L,L,8,0,0,0,2.281339954492704,
-0.200_0.300_0.560,-0.2,0.3,0.56,upper,serial_upper,left_free_only_no_safe,False,L,L,0,0,48,0,0.2727357675170823,
-0.200_0.400_0.560,-0.2,0.4,0.56,upper,parallel,left_safe_only,False,L,L,8,0,0,0,0.6541800269721935,
-0.200_0.500_0.560,-0.2,0.5,0.56,upper,parallel,left_safe_only,False,L,L,8,0,0,0,0.7250806467057244,
-0.300_-0.300_0.560,-0.3,-0.3,0.56,lower,parallel,left_safe_only,False,L,L,8,0,0,0,2.217074574321932,
-0.300_-0.400_0.560,-0.3,-0.4,0.56,lower,parallel,left_safe_only,False,L,L,8,0,0,0,2.1235530707423216,
-0.300_-0.500_0.560,-0.3,-0.5,0.56,lower,parallel,left_safe_only,False,L,L,8,0,0,0,1.923722386989514,
-0.300_0.300_0.560,-0.3,0.3,0.56,upper,parallel,left_safe_only,False,L,L,8,0,0,0,1.3659810189309822,
-0.300_0.400_0.560,-0.3,0.4,0.56,upper,parallel,left_safe_only,False,L,L,8,0,0,0,0.7889297424852031,
-0.300_0.500_0.560,-0.3,0.5,0.56,upper,parallel,left_safe_only,False,L,L,8,0,0,0,0.9688056745065395,
-0.400_-0.300_0.560,-0.4,-0.3,0.56,lower,parallel,left_safe_only,False,L,L,8,0,0,0,1.9249900933118829,
-0.400_-0.400_0.560,-0.4,-0.4,0.56,lower,parallel,left_safe_only,False,L,L,8,0,0,0,1.7334663705271915,
-0.400_-0.500_0.560,-0.4,-0.5,0.56,lower,parallel,left_safe_only,False,L,L,8,0,0,0,2.0448626751151737,
-0.400_0.300_0.560,-0.4,0.3,0.56,upper,parallel,left_safe_only,False,L,L,8,0,0,0,1.1501195894164993,
-0.400_0.400_0.560,-0.4,0.4,0.56,upper,parallel,left_safe_only,False,L,L,8,0,0,0,1.066176916603212,
-0.400_0.500_0.560,-0.4,0.5,0.56,upper,parallel,left_safe_only,False,L,L,8,0,0,0,0.9864630630421637,
0.000_-0.300_0.560,0.0,-0.3,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,27,30,1.2520845501493614,0.24465822873650866
0.000_-0.400_0.560,0.0,-0.4,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,21,22,1.8008041067345775,0.30766963801213176
0.000_-0.500_0.560,0.0,-0.5,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,6,15,2.492186636151701,0.7202162633979245
0.000_0.300_0.560,0.0,0.3,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,30,26,0.2446582537999995,1.5707813837595808
0.000_0.400_0.560,0.0,0.4,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,22,21,0.44771577293174714,1.882102477336081
0.000_0.500_0.560,0.0,0.5,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,16,6,0.5734176989264272,2.626061407415853
0.100_-0.300_0.560,0.1,-0.3,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,15,42,1.6125690239056882,0.1378999859895802
0.100_-0.400_0.560,0.1,-0.4,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,9,30,2.180703257995698,0.22815113992224212
0.100_-0.500_0.560,0.1,-0.5,0.56,lower,parallel,right_safe_only,False,R,R,0,7,0,0,,1.3346693000269534
0.100_0.300_0.560,0.1,0.3,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,21,36,0.5998306138938194,1.0714487604845568
0.100_0.400_0.560,0.1,0.4,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,12,27,0.972897066289216,1.6814486361399692
0.100_0.500_0.560,0.1,0.5,0.56,upper,serial_upper,right_free_only_no_safe,False,R,R,0,0,0,18,,2.2752967713215266
0.200_-0.300_0.560,0.2,-0.3,0.56,lower,serial_lower,right_free_only_no_safe,False,R,R,0,0,0,48,,0.3446472057367367
0.200_-0.400_0.560,0.2,-0.4,0.56,lower,parallel,right_safe_only,False,R,R,0,8,0,0,,0.9500966334557266
0.200_-0.500_0.560,0.2,-0.5,0.56,lower,parallel,right_safe_only,False,R,R,0,8,0,0,,0.8817220301659381
0.200_0.300_0.560,0.2,0.3,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,3,42,1.512850375230929,2.0031850973712366
0.200_0.400_0.560,0.2,0.4,0.56,upper,parallel,right_safe_only,False,R,R,0,8,0,0,,2.139692998042813
0.200_0.500_0.560,0.2,0.5,0.56,upper,parallel,right_safe_only,False,R,R,0,5,0,0,,2.2327773133012725
0.300_-0.300_0.560,0.3,-0.3,0.56,lower,parallel,right_safe_only,False,R,R,0,8,0,0,,1.2765857245225982
0.300_-0.400_0.560,0.3,-0.4,0.56,lower,parallel,right_safe_only,False,R,R,0,8,0,0,,0.8979125553566809
0.300_-0.500_0.560,0.3,-0.5,0.56,lower,parallel,right_safe_only,False,R,R,0,8,0,0,,0.7768045538832546
0.300_0.300_0.560,0.3,0.3,0.56,upper,parallel,right_safe_only,False,R,R,0,8,0,0,,2.0403261011241245
0.300_0.400_0.560,0.3,0.4,0.56,upper,parallel,right_safe_only,False,R,R,0,8,0,0,,2.149312128169149
0.300_0.500_0.560,0.3,0.5,0.56,upper,parallel,right_safe_only,False,R,R,0,8,0,0,,1.7748143040841744
0.400_-0.300_0.560,0.4,-0.3,0.56,lower,parallel,right_safe_only,False,R,R,0,8,0,0,,1.1405582047128187
0.400_-0.400_0.560,0.4,-0.4,0.56,lower,parallel,right_safe_only,False,R,R,0,8,0,0,,1.060050825049296
0.400_-0.500_0.560,0.4,-0.5,0.56,lower,parallel,right_safe_only,False,R,R,0,8,0,0,,1.1632910037580806
0.400_0.300_0.560,0.4,0.3,0.56,upper,parallel,right_safe_only,False,R,R,0,8,0,0,,1.6704533966671833
0.400_0.400_0.560,0.4,0.4,0.56,upper,parallel,right_safe_only,False,R,R,0,8,0,0,,2.0811651087244063
0.400_0.500_0.560,0.4,0.5,0.56,upper,parallel,right_safe_only,False,R,R,0,8,0,0,,1.8599453921420541
