key,x,y,z,half,label,case,discard,allowed_arms,must_assign_to,safe_count_L,safe_count_R,free_count_L,free_count_R,optimizer_best_cost_L,optimizer_best_cost_R
-0.050_-0.250_0.560,-0.05,-0.25,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,37,27,1.1401078969006102,0.37954033662026987
-0.050_-0.300_0.560,-0.05,-0.3,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,34,25,1.439197167942751,0.3767375745200676
-0.050_-0.350_0.560,-0.05,-0.35,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,29,21,1.5936167446127616,0.5710529622892904
-0.050_-0.400_0.560,-0.05,-0.4,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,24,18,1.6892574730076952,0.5680343568048762
-0.050_-0.450_0.560,-0.05,-0.45,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,21,15,2.2950524998017023,0.8203375758250373
-0.050_0.250_0.560,-0.05,0.25,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,39,26,0.12573532718932956,1.2316035163946835
-0.050_0.300_0.560,-0.05,0.3,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,39,24,0.14119241184619105,1.6452851726885538
-0.050_0.350_0.560,-0.05,0.35,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,30,22,0.18930921436637,1.7245322659494478
-0.050_0.400_0.560,-0.05,0.4,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,26,18,0.23399999940395355,1.935048167650559
-0.050_0.450_0.560,-0.05,0.45,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,23,9,0.3336921830218129,2.3542556639799175
-0.100_-0.250_0.560,-0.1,-0.25,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,39,21,1.4575320180811637,0.5916241340026054
-0.100_-0.300_0.560,-0.1,-0.3,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,36,21,0.9746722170728495,0.6147371181122725
-0.100_-0.350_0.560,-0.1,-0.35,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,33,16,1.2641168974936163,0.7062310117727431
-0.100_-0.400_0.560,-0.1,-0.4,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,27,12,2.1174842473491293,0.9728970412772555
-0.100_-0.450_0.560,-0.1,-0.45,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,23,9,1.9961630976964932,0.9018383202993232
-0.100_0.250_0.560,-0.1,0.25,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,45,24,0.14004178217951724,1.5168912959240732
-0.100_0.300_0.560,-0.1,0.3,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,40,15,0.13790001565682886,1.8331821350631432
-0.100_0.350_0.560,-0.1,0.35,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,33,12,0.17859766571917016,1.80423662422884
-0.100_0.400_0.560,-0.1,0.4,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,30,9,0.22815114447003323,2.2872144252902915
-0.100_0.450_0.560,-0.1,0.45,0.56,upper,serial_upper,left_free_only_no_safe,False,L,L,0,0,24,0,0.23703388166577932,
-0.150_-0.250_0.560,-0.15,-0.25,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,43,15,0.7718793846931165,0.8727846170985774
-0.150_-0.300_0.560,-0.15,-0.3,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,38,15,1.0342571273353038,0.8695620426441306
-0.150_-0.350_0.560,-0.15,-0.35,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,36,9,1.3974755757910702,1.112116443364091
-0.150_-0.400_0.560,-0.15,-0.4,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,30,6,1.9141027940972373,1.319852987642565
-0.150_-0.450_0.560,-0.15,-0.45,0.56,lower,serial_lower,left_free_only_no_safe,False,L,L,0,0,24,0,1.9160102343401806,
-0.150_0.250_0.560,-0.15,0.25,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,48,15,0.25722744635743755,1.6346213755882917
-0.150_0.300_0.560,-0.15,0.3,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,45,9,0.24528058211771775,2.0101024911482828
-0.150_0.350_0.560,-0.15,0.35,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,36,6,0.2518165131073866,2.221723217516388
-0.150_0.400_0.560,-0.15,0.4,0.56,upper,serial_upper,left_free_only_no_safe,False,L,L,0,0,33,0,0.24944094240145454,
-0.150_0.450_0.560,-0.15,0.45,0.56,upper,serial_upper,left_free_only_no_safe,False,L,L,0,0,27,0,0.24706497081889234,
-0.200_-0.250_0.560,-0.2,-0.25,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,48,6,1.2671585741043652,1.4522522730539484
-0.200_-0.300_0.560,-0.2,-0.3,0.56,lower,serial_lower,both_free_no_safe,False,"L,R",,0,0,42,4,1.7494119300338091,1.4553607699215227
-0.200_-0.350_0.560,-0.2,-0.35,0.56,lower,serial_lower,left_free_only_no_safe,False,L,L,0,0,36,0,1.743875012420248,
-0.200_-0.400_0.560,-0.2,-0.4,0.56,lower,serial_lower,left_free_only_no_safe,False,L,L,0,0,33,0,1.8519169175694463,
-0.200_-0.450_0.560,-0.2,-0.45,0.56,lower,parallel,left_safe_only,False,L,L,7,0,0,0,1.9075130068693316,
-0.200_0.250_0.560,-0.2,0.25,0.56,upper,serial_upper,both_free_no_safe,False,"L,R",,0,0,51,3,0.42009882966603973,2.0520055997291884
-0.200_0.300_0.560,-0.2,0.3,0.56,upper,serial_upper,left_free_only_no_safe,False,L,L,0,0,48,0,0.3446472232475508,
-0.200_0.350_0.560,-0.2,0.35,0.56,upper,serial_upper,left_free_only_no_safe,False,L,L,0,0,39,0,0.33969146254603855,
-0.200_0.400_0.560,-0.2,0.4,0.56,upper,parallel,left_safe_only,False,L,L,8,0,0,0,0.9735029316846271,
-0.200_0.450_0.560,-0.2,0.45,0.56,upper,parallel,left_safe_only,False,L,L,8,0,0,0,0.5902539802511608,
-0.250_-0.250_0.560,-0.25,-0.25,0.56,lower,serial_lower,left_free_only_no_safe,False,L,L,0,0,51,0,1.2571691951552595,
-0.250_-0.300_0.560,-0.25,-0.3,0.56,lower,serial_lower,left_free_only_no_safe,False,L,L,0,0,45,0,1.2778867335690733,
