N,seed,heuristic_makespan,milp_makespan,improvement_pct,proven_optimal,mip_gap_pct,solve_time_s
5,0,8.7699,8.7699,0.0,True,0.0,0.0
5,1,4.9143,4.9143,0.0,True,0.0,0.001
5,2,7.0261,5.89,16.1693,True,0.0,0.001
5,3,10.6878,10.6878,0.0,True,0.0,0.0
5,4,5.2218,5.2218,0.0,True,0.0,0.0
5,5,9.679,9.679,0.0,True,0.0,0.0
5,6,12.8576,12.8576,0.0,True,0.0,0.0
5,7,10.9128,10.9128,0.0,True,0.0,0.0
5,8,5.6444,5.3649,4.9523,True,0.0,0.001
5,9,12.1984,12.1984,0.0,True,0.0,0.0
5,10,7.0463,7.0463,0.0,True,0.0,0.0
5,11,9.6237,9.6237,0.0,True,0.0,0.0
5,12,13.3033,10.8296,18.5949,True,0.0,0.001
5,13,10.7068,10.2237,4.512,True,0.0,0.0
5,14,7.4122,7.4122,0.0,True,0.0,0.0
10,0,15.2556,13.8431,9.2586,True,0.0,0.001
10,1,10.6709,10.6709,0.0,True,0.0,0.0
10,2,14.7127,14.7127,0.0,True,0.0,0.0
10,3,8.9421,8.9421,0.0,True,0.0,0.0
10,4,21.2076,21.2076,0.0,True,0.0,0.0
10,5,11.9572,11.9572,0.0,True,0.0,0.0
10,6,13.3943,13.3943,0.0,True,0.0,0.0
10,7,15.7337,15.7337,0.0,True,0.0,0.0
10,8,19.6851,19.6851,0.0,True,0.0,0.0
10,9,16.5574,15.4213,6.8614,True,0.0,0.001
10,10,12.9228,12.9228,0.0,True,0.0,0.0
10,11,12.0395,12.0395,0.0,True,0.0,0.001
10,12,18.482,18.482,0.0,True,0.0,0.0
10,13,17.9738,17.9738,0.0,True,0.0,0.0
10,14,11.3398,11.3398,0.0,True,0.0,0.0
15,0,20.2681,19.068,5.9211,True,0.0,0.001
15,1,19.9324,19.9324,0.0,True,0.0,0.0
15,2,24.7564,22.8305,7.7791,True,0.0,0.001
15,3,21.8785,20.0692,8.27,True,0.0,0.001
15,4,26.9327,26.9327,0.0,True,0.0,0.0
15,5,21.3673,20.5665,3.7474,True,0.0,0.001
15,6,16.3663,16.3663,0.0,True,0.0,0.001
15,7,28.3065,27.7959,1.8036,True,0.0,0.001
15,8,26.5465,23.1351,12.851,True,0.0,0.001
15,9,22.828,22.828,0.0,True,0.0,0.0
15,10,18.6511,18.027,3.3462,True,0.0,0.001
15,11,26.4907,26.4907,0.0,True,0.0,0.0
15,12,18.6322,18.6322,0.0,True,0.0,0.0
15,13,19.277,18.1349,5.9247,True,0.0,0.001
15,14,20.1812,18.7946,6.8712,True,0.0,0.001
20,0,19.4996,19.4996,0.0,True,0.0,0.001
20,1,32.8221,32.339,1.4718,True,0.0,0.001
20,2,32.5473,30.3543,6.738,True,0.0,0.002
20,3,39.6646,38.9111,1.8996,True,0.0,0.001
20,4,30.6378,30.6378,0.0,True,0.0,0.001
20,5,32.1701,31.221,2.9502,True,0.0,0.001
20,6,24.838,24.838,0.0,True,0.0,0.001
20,7,22.9777,21.5653,6.1471,True,0.0,0.001
20,8,27.8429,24.4314,12.2526,True,0.0,0.002
20,9,33.9454,32.1343,5.3354,True,0.0,0.001
20,10,27.2747,25.2943,7.2609,True,0.0,0.002
20,11,31.9077,31.6319,0.8644,True,0.0,0.001
20,12,35.247,32.4267,8.0017,True,0.0,0.001
20,13,27.89,26.7539,4.0734,True,0.0,0.001
20,14,30.6448,27.2333,11.1324,True,0.0,0.001
30,0,46.2625,43.67,5.6038,True,0.0,0.002
30,1,32.413,32.413,0.0,True,0.0,0.002
30,2,34.9497,34.0903,2.4591,True,0.0,0.003
30,3,42.9379,42.9379,0.0,True,0.0,0.001
30,4,49.1354,40.3084,17.9647,True,0.0,0.002
30,5,39.9345,36.754,7.9643,True,0.0,0.002
30,6,52.3761,48.9935,6.4584,True,0.0,0.001
30,7,46.0845,44.1332,4.2343,True,0.0,0.002
30,8,37.6561,37.3765,0.7423,True,0.0,0.002
30,9,40.6109,39.1921,3.4935,True,0.0,0.003
30,10,41.0518,36.8215,10.3048,True,0.0,0.003
30,11,44.2546,39.2774,11.2469,True,0.0,0.003
30,12,43.7655,42.1084,3.7863,True,0.0,0.001
30,13,42.2257,39.6688,6.0553,True,0.0,0.001
30,14,47.1445,46.8649,0.5929,True,0.0,0.001
40,0,50.8609,50.8609,0.0,True,0.0,0.001
40,1,54.8628,53.8651,1.8185,True,0.0,0.002
40,2,64.8386,61.4271,5.2615,True,0.0,0.001
40,3,58.4418,54.7194,6.3695,True,0.0,0.002
40,4,64.7223,62.2456,3.8266,True,0.0,0.001
40,5,48.4155,46.0567,4.8721,True,0.0,0.003
40,6,45.2586,45.2586,0.0,True,0.0,0.001
40,7,60.9261,54.4531,10.6244,True,0.0,0.001
40,8,59.6164,55.6627,6.6319,True,0.0,0.002
40,9,48.6649,46.5709,4.3029,True,0.0,0.006
40,10,51.7962,45.5946,11.973,True,0.0,0.002
40,11,61.8148,56.3681,8.8113,True,0.0,0.001
40,12,49.9336,46.5221,6.8321,True,0.0,0.004
40,13,52.6882,50.3294,4.477,True,0.0,0.002
40,14,53.2414,48.9312,8.0956,True,0.0,0.003
50,0,76.539,73.2025,4.3591,True,0.0,0.001
50,1,64.7831,64.7831,0.0,True,0.0,0.002
50,2,68.1622,65.8844,3.3416,True,0.0,0.003
50,3,63.5771,58.0728,8.6578,True,0.0,0.005
50,4,68.8514,66.2823,3.7313,True,0.0,0.002
